会社名,キーマン人数,事業内容,業種,住所,設立年度,代表者名,資本金等,オリジナルタグ,企業URL,問い合わせフォームURL
京浜内外フォワーディング株式会社,0,京浜内外フォワーディング株式会社は、物流事業等を行う会社である。三菱倉庫株式会社の連結子会社であることが強み。港湾運送事業をはじめ、コンテナ貨物、プラント大型機械、バラ積み貨物などの輸出入通関手続き、ドアツードアの国際複合一貫輸送、国内輸送、情報ネットワークシステム構築等多様なサービスを提供している。,"運輸・物流業界, 港湾運送, 冷凍冷蔵車運行, 重量物輸送, 機械輸送",〒 104-0033 東京都中央区新川１丁目２９番８号 三菱倉庫越前堀ビル,1953/2,八幡陽之介,"30,000,000円","今年求人を行なっている企業, マイナビ2025, ISO認定取得企業, 海外進出企業、海外取引, 平均年収.com(運輸・物流系企業子会社), 運送業, 一般社団法人国際フレイトフォワーダーズ協会, 協会・組合",https://biz-maps.com/item/L3Z7JqK4lO,
サイメックス株式会社,0,サイメックス株式会社は、海外向け食料品の調達や輸送業務を行っている会社である。その他にも、海外や国内での一般貨物輸送と海外引越を手掛けている。また、Door to Doorサービスも提供している。液体や危険物、実験装置等の輸送も行っている。主要取扱可能地域は、中央アジアや東南アジア各国、中欧及び東欧などである。,"運輸・物流業界, 海運",〒 101-0053 東京都千代田区神田美土代町11-12 ニチヨビル4階,1998/4/8,森岡 豊,"12,000,000円",運輸・物流関連企業@関東,https://biz-maps.com/item/oP1DMLN7lx,
株式会社Ｇ．ＯＮＥ．Ｎｅｔｗｏｒｋ,0,株式会社G.ONE.Networkは物流事業を行う会社である。定期便の手配からスポット配送まで幅広く対応しており、大手アパレル会社の店舗配送管理業務をはじめルート便の構築・管理を得意としている。また東京・千葉を中心に複数の拠点があり、アパレル・雑貨・スキー用品等の倉庫保管業務、商品の発送代行業務を展開している。主要取引先は、育児商品販売会社、物流事業会社、宅配便事業会社等。,"一般貨物輸送, 倉庫",〒 134-0083 東京都江戸川区中葛西3丁目15-13 第3荒井プレイス3F,2011/7/5,佐加 良一,"10,000,000円",DODA(社宅・家賃補助制度)@港区・中央区・千代田区・品川区以外,https://biz-maps.com/item/O2lgJO7y1n,
株式会社スーパーマウス,0,株式会社スーパーマウスは、バイク便・ハンドキャリー業を行う会社である。羽田空港国内便荷物発送や東京駅レールゴー「到着駅留め、現地配送可能（大阪・仙台）」、ねこグッズの販売を展開している。バイク便は、1km・950円、2km・1260円であり、高速料金は実費請求する。,"運輸・物流業界, 一般貨物輸送",〒 123-0841 東京都足立区西新井4-33-15-405,1983,佐々木 敏子,"10,000,000円",-,https://biz-maps.com/item/kVZEwaw1E2,
三協運輸株式会社,0,三協運輸株式会社は、一般貨物自動車運送事業を行う会社である。併せて、梱包業、産業廃棄物収集運搬業、コンピュータ及び周辺機器の販売等を行っている。自動車用タイヤをはじめ、医療機器やインテリア素材等、幅広い輸送をしており、東京・千葉・埼玉を中心に安全かつ迅速に全国に配送を行っている点が強み。,"運輸・物流業界, 運輸・物流業界, 一般貨物輸送, 一般貨物輸送",〒 140-0004 東京都品川区南品川1丁目3番1号,1952/10/1,南雲 謙太郎,"4,000,000円","リサイクル・廃棄物処理, ドライバー求人, 運輸・運送",https://biz-maps.com/item/6p1Xd8Qj1N,
和喜輸送株式会社,0,和喜輸送株式会社は、陸運による運送事業および倉庫業を行う企業である。一般貨物自動車運送のほか、取引先専用車を使った専属契約での運送業務も行う。その他、引っ越しや各種機械の移設・運搬業務なども引き受けている。主な取引先は、ヤマトホームコンビニエンス株式会社・株式会社新開トランスポートシステムズなどである。,"運輸・物流業界, 一般貨物輸送, 機械輸送, 倉庫, 引越し",〒 142-0054 東京都品川区西中延1丁目7番3号,1962/4/14,渡邊 峰行,"31,500,000円","人事部署直通@関東, 事業所数を20拠点以上保有している企業, 中途採用媒体(経理・会計職), 求人ボックス(物流センター・梱包), 運送業, 倉庫保有, 経理・会計職募集",https://biz-maps.com/item/oP1D8MKQ1x,
ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス株式会社,210,NIPPON EXPRESSホールディングス株式会社は、グループ企業の経営管理から付帯する業務まで請け負う企業である。日本通運や物流サポート事業会社などNXグループの経営管理に携わっており、経営改善のアドバイスからサポートまで提供している。また、グループ企業と連携しながら業績向上に繋がる活動も進めている。,"運輸・物流業界, 一般貨物輸送",〒 101-0024 東京都千代田区神田和泉町2番地,/1/4,齋藤　充,"70,175,000,000円","上場企業(PBR等の情報付加・名寄せ不可企業), ヤフーファイナンス(PBR1.5倍以内企業), グループ会社運営の会社・企業, スポーツチーム(スポンサー), 一般社団法人日本ベンチャーキャピタル協会(CVC会員), キーマンレター(営業部門の決裁者一覧), ビッグカンパニー(全国の上場企業一覧), 2022年1月新設法人",https://biz-maps.com/item/oelO5dwqYA,
八大株式会社,0,八大株式会社は、一般貸し切り運送を行う会社である。併せて、チルド輸送・食品輸送・倉庫管理を行っている。主要取扱い品としては、食品・青果・一般雑貨等があり、市場配送や飲食チェーン配送を行っている。顧客の要望に合わせて自社・協力会社・関係各所と連携し、物流業務の効率化を提案している点が強み。,"運輸・物流業界, 機械輸送, 倉庫",〒 103-0013 東京都中央区日本橋人形町2-16-7,/3/1,岩田 享也,"10,000,000円","働き方改革・ダイバーシティー推進企業, 中途採用企業, 新規拠点・店舗立ち上げ企業, キャンペーン実施企業, 新商品リリース企業, 社会保険労務士, 不動産サービス, パッションリーダーズ, ドライバー求人, 一括.jp(物流倉庫), 一括.jp(物流・倉庫), ベンチャー、成長系企業",https://biz-maps.com/item/6p1XdWKQ1N,
TML株式会社,0,TML株式会社は、産業廃棄物の収集運搬等を行う会社である。鉄鋼、ステンレス、プラスチック、アルミニュウム、銅等非鉄金属製品及びスクラップの加工処理・売買、産業廃棄物及び一般廃棄物の収集運搬、廃プラスチックのリサイクル、一般貨物自動車運送、貨物運送取扱事業、軽油・ガソリン販売、特定労働者派遣事業を行う。,"その他サービス業界, 環境・廃棄物処理, 一般貨物輸送",〒 143-0003 東京都大田区京浜島2丁目19番10号,2006/1/30,青山 貴好,"10,000,000円","楽天出店社, リサイクル・廃棄物処理, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 産業廃棄物収集運搬業(電子マニュフェスト対応), 運送業, Wikipedia",https://biz-maps.com/item/oelOdXnoZA,
豊田運送株式会社,0,豊田運送株式会社は、創立50周年を迎える引越し専門の運送会社である。東京から全国への引越しに対応する社内体制を重視した経営を行い、人生の大イベントである引越しを責任をもって取り組んでいる。またISO（品質基準）取得や東京都から福祉系サービスの受託等、業界の信頼向上に努めている。他にも家事代行、草刈などの生活に密着したサービスも行っている。,"運輸・物流業界, 一般貨物輸送",〒 174-0051 東京都板橋区小豆沢1丁目9番4号,1956/2/13,豊田 敦子,"10,000,000円",運送業,https://biz-maps.com/item/3bZ9yRpJZ5,
板橋運送株式会社,0,板橋運送株式会社は、貨物自動車運送事業、貨物自動車に係わる利用運送事業、鉄道運送に係わる利用運送事業、不動産の賃貸及び管理業を行う会社である。大型トレーラー、冷蔵バン、タンクローリー等を所有し、顧客のニーズに幅広く対応した運送事業を行っている。また不動産業は、板橋区、船橋市、越谷市を中心に行っている。主要取引先は、株式会社日新、株式会社ダイエーなどである。,"運輸・物流業界, 冷凍冷蔵車運行",〒 173-0004 東京都板橋区板橋1丁目42番18号 ユニティフォーラムビル7F,1944/9/26,大林良庸,"80,000,000円","海外進出企業、海外取引, 不動産サービス, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 運送業, google(海上コンテナ・千葉)",https://biz-maps.com/item/WBlxQAEeZ8,
